,Rates
AED,4.171107
AFN,105.531438
ALL,121.601205
AMD,540.525666
ANG,2.044352
AOA,677.830581
ARS,113.96312
AUD,1.561583
AWG,2.044333
AZN,1.933293
BAM,1.955706
BBD,2.290355
BDT,97.470109
BGN,1.955434
BHD,0.42815000000000003
BIF,2258.416773
BMD,1.135583
BND,1.540575
BOB,7.821403
BRL,6.311913
BSD,1.134328
BTC,2.0255471e-05
BTN,84.117857
BWP,13.144349
BYN,2.799722
BYR,22257.424236
BZD,2.286555
CAD,1.430812
CDF,2277.979295
CHF,1.052231
CLF,0.034268
CLP,945.554462
CNY,7.251718
COP,4468.51859
CRC,726.067487
CUC,1.135583
CUP,30.092946
CVE,110.257997
CZK,25.284997
DJF,201.947173
DKK,7.437011
DOP,64.170359
DZD,157.676792
EGP,17.829336
ERN,17.034096
ETB,54.570953
EUR,1.0
FJD,2.3852349999999998
FKP,0.846502
GBP,0.842205
GEL,3.548708
GGP,0.846502
GHS,6.950858
GIP,0.846502
GMD,59.51868
GNF,10836.420832
GTQ,8.776043
GYD,237.144937
HKD,8.846701
HNL,27.351022
HRK,7.513135
HTG,111.231976
HUF,363.862333
IDR,16159.173891
ILS,3.503682
IMP,0.846502
INR,84.329511
IQD,1655.034874
IRR,47978.375813
ISK,148.625201
JEP,0.846502
JMD,176.670222
JOD,0.8051229999999999
JPY,129.869765
KES,127.275839
KGS,96.300193
KHR,4614.525619
KMF,491.707243
KPW,1022.02498
KRW,1345.415657
KWD,0.34345699999999996
KYD,0.9453400000000001
KZT,491.518779
LAK,12148.428347
LBP,1715.191053
LKR,229.141345
LRD,162.388616
LSL,17.760935
LTL,3.353081
LVL,0.6869029999999999
LYD,5.218369
MAD,10.435437
MDL,20.072525
MGA,4520.393063
MKD,61.611087
MMK,2007.255402
MNT,3245.744092
MOP,9.100422
MRO,405.402889
MUR,49.165753
MVR,17.545066
MWK,926.086021
MXN,23.585145
MYR,4.749576
MZN,72.484078
NAD,17.760871
NGN,466.225252
NIO,39.962758
NOK,10.007779
NPR,134.587266
NZD,1.613972
OMR,0.437191
PAB,1.134428
PEN,4.546511
PGK,4.034008
PHP,57.166332
PKR,197.58161
PLN,4.669924
PYG,7783.605595
QAR,4.134638
RON,4.949442
RSD,117.590276
RUB,82.940245
RWF,1156.936325
SAR,4.259417
SBD,9.139572
SCR,14.960607
SDG,497.385533
SEK,10.081588
SGD,1.541871
SHP,1.564149
SLL,12519.801402
SOS,663.180068
SRD,24.411056
STD,23504.272659
SVC,9.926369
SYP,1427.181879
SZL,17.664122
THB,37.031493
TJS,12.812586
TMT,3.97454
TND,3.25089
TOP,2.567209
TRY,12.638127
TTD,7.690512
TWD,31.564093
TZS,2611.840336
UAH,30.066725
UGX,4061.042048
USD,1.135583
UYU,49.974826
UZS,12214.934122
VEF,242821937397.1177
VND,25732.307815
VUV,126.412641
WST,2.9112270000000002
XAF,655.909561
XAG,0.045557
XAU,0.000609
XCD,3.06897
XDR,0.810641
XOF,655.915337
XPF,119.662022
YER,284.179738
ZAR,17.758528
ZMK,10221.605901
ZMW,19.981831
ZWL,365.657221
